ent1,ent2
me2,haplotype ag
rs3743500,haplotype ag
haplotypes gc,haplotype ag
nrg3,haplotype ag
rs3826047,haplotype ag
nptn,haplotype ag
psychotic,schizophrenia
bipolar disorder,schizophrenia
rs10735810,snps in the vdr
mm,bc
il-23,tnf)-alpha
tissue inhibitors of metalloproteinases,tnf)-alpha
tumor necrosis factor,tnf)-alpha
ibd,inflammatory bowel diseases
chronic mucosal inflammation,inflammatory bowel diseases
cyp1a1,cytochrome p450 1a1
ttac/ccag,cytochrome p450 1a1
rs4886605,cytochrome p450 1a1
hepatocellular carcinoma,hcc
rs11209026,g2677t/a
nlrp3,g2677t/a
nod2,g2677t/a
il23r haplotypes,g2677t/a
il23r,g2677t/a
granulocyte-macrophage colony-stimulating factor,g2677t/a
nalp3,g2677t/a
mdr1,g2677t/a
toll-like receptor,g2677t/a
inflammatory bowel disease,ulcerative colitis
crohn's disease,ulcerative colitis
arg399gln,rad51
pro72arg,rad51
xrcc3,rad51
liglv asp62his,rad51
trp46ter,rad51
pro231ser,rad51
ligiv,rad51
xrcc1,rad51
15455419a>g,rad51
gln221glu,rad51
rad52 gln221glu,rad51
carcinogenesis,papillary thyroid cancer
thyroid cancer,papillary thyroid cancer
wnt,krüppel-like factor 5
rs11209026,mmp-3
nod2,mmp-3
variants in the il23r,mmp-3
il23r r381q,mmp-3
il23r,mmp-3
g908r,mmp-3
timp-1 genotype tt,mmp-3
nf kappab -94attg,mmp-3
tnf-alpha-g308a,mmp-3
l1007fsinsc,mmp-3
r381q,mmp-3
tlr,mmp-3
tnf-alpha,mmp-3
crohn's disease,cd
vegf,hairy and enhancer of split homolog-1
hairy and enhancer of split homologue-1,hairy and enhancer of split homolog-1
flt-1,hairy and enhancer of split homolog-1
arg399gln,rad52 gln221glu
pro72arg,rad52 gln221glu
xrcc3,rad52 gln221glu
liglv asp62his,rad52 gln221glu
trp46ter,rad52 gln221glu
pro231ser,rad52 gln221glu
ligiv,rad52 gln221glu
xrcc1,rad52 gln221glu
15455419a>g,rad52 gln221glu
gln221glu,rad52 gln221glu
tissue inhibitors of metalloproteinases,tumor necrosis factor
recalcitrant crswnp,crswnp
arg399gln,xrcc1
pro72arg,xrcc1
xrcc3,xrcc1
liglv asp62his,xrcc1
trp46ter,xrcc1
pro231ser,xrcc1
ligiv,xrcc1
15455419a>g,xrcc1
gln221glu,xrcc1
col1a2,rs42524
arg399gln,trp46ter
pro72arg,trp46ter
xrcc3,trp46ter
liglv asp62his,trp46ter
pro231ser,trp46ter
ligiv,trp46ter
15455419a>g,trp46ter
gln221glu,trp46ter
nod2,il23r
nf kappab -94attg,il23r
il23r haplotypes,il23r
g908r,il23r
r381q,il23r
nalp3,il23r
toll-like receptor,il23r
tnf-alpha,il23r
rs11209026,il23r
nlrp3,il23r
variants in the il23r,il23r
il23r r381q,il23r
timp-1 genotype tt,il23r
tnf-alpha-g308a,il23r
l1007fsinsc,il23r
granulocyte-macrophage colony-stimulating factor,il23r
tlr,il23r
mdr1,il23r
inflammatory bowel disease,crohn's disease
rs11209026,il23r haplotypes
nlrp3,il23r haplotypes
nod2,il23r haplotypes
granulocyte-macrophage colony-stimulating factor,il23r haplotypes
nalp3,il23r haplotypes
mdr1,il23r haplotypes
toll-like receptor,il23r haplotypes
epsilon2,stk39
rs11209026,variants in the il23r
nod2,variants in the il23r
nf kappab -94attg,variants in the il23r
il23r r381q,variants in the il23r
g908r,variants in the il23r
timp-1 genotype tt,variants in the il23r
tnf-alpha-g308a,variants in the il23r
