ent1,ent2
xrcc7,trp46ter
xrcc3,trp46ter
xrcc1,trp46ter
arg559gln,trp46ter
pro72arg,trp46ter
arg399gln,trp46ter
15455419a>g,trp46ter
gln221glu,trp46ter
liglv asp62his,trp46ter
pro231ser,trp46ter
rad51,trp46ter
ligiv,trp46ter
arg280his,trp46ter
thr241met,trp46ter
rad52 gln221glu,trp46ter
thyroid cancer,papillary thyroid cancer
carcinogenesis,papillary thyroid cancer
cyclophilin a,cypa
gm-csf,nod2
nalp3,nod2
tnf-alpha-g308a,nod2
toll-like receptor,nod2
g2677t/a,nod2
il23r r381q,nod2
rs11209026,nod2
snp +372 t/c,nod2
l1007fsinsc,nod2
variants in the il23r,nod2
5t5t genotype at mmp-3 snp -1613 5t/6t,nod2
nf kappab -94attg,nod2
tnf-alpha,nod2
granulocyte-macrophage colony-stimulating factor,nod2
nlrp3,nod2
timp-1 genotype tt,nod2
tlr,nod2
mdr1,nod2
timp-1,nod2
il23r,nod2
g908r,nod2
mmp-3,nod2
card15,nod2
r381q,nod2
fcgiiia g559t,nod2
nucleotide oligomerization domain 2,nod2
il23r haplotypes,nod2
crohn's disease,cd
leprosy,cd
fistulae,cd
rs2395029,rs12198173
syndecan 2,rs12198173
rs6503919,rs12198173
mhc,rs12198173
rs13199524,rs12198173
rs2575735,rs12198173
rs3093662,rs12198173
gm-csf,l1007fsinsc
tnf-alpha-g308a,l1007fsinsc
il23r r381q,l1007fsinsc
rs11209026,l1007fsinsc
snp +372 t/c,l1007fsinsc
variants in the il23r,l1007fsinsc
5t5t genotype at mmp-3 snp -1613 5t/6t,l1007fsinsc
nf kappab -94attg,l1007fsinsc
tnf-alpha,l1007fsinsc
timp-1 genotype tt,l1007fsinsc
tlr,l1007fsinsc
timp-1,l1007fsinsc
il23r,l1007fsinsc
g908r,l1007fsinsc
mmp-3,l1007fsinsc
card15,l1007fsinsc
r381q,l1007fsinsc
fcgiiia g559t,l1007fsinsc
xrcc7,15455419a>g
xrcc3,15455419a>g
xrcc1,15455419a>g
arg559gln,15455419a>g
pro72arg,15455419a>g
arg399gln,15455419a>g
gln221glu,15455419a>g
liglv asp62his,15455419a>g
pro231ser,15455419a>g
rad51,15455419a>g
ligiv,15455419a>g
arg280his,15455419a>g
thr241met,15455419a>g
rad52 gln221glu,15455419a>g
xpd asn312asn,his1104his
his1104asp,his1104his
asp1104asp,his1104his
hla,chemokine receptor
gpx2,gpx1
intestinal cancer,colitis
carcinogenesis,colitis
602s,-819t
tlr,-819t
-819c/t,-819t
il-10,-819t
interleukin-10 promoter single-nucleotide polymorphisms,-819t
tlr1,-819t
mycobacterium leprae antigens,leprosy
il2ra,rs3118470
rs706778,rs3118470
rs11594656,rs3118470
cdc6 g1321a,vdr
cancer,malignant melanoma
sporadic breast cancer,malignant melanoma
tnf-alpha-g308a,gm-csf
il23r r381q,gm-csf
rs11209026,gm-csf
snp +372 t/c,gm-csf
variants in the il23r,gm-csf
5t5t genotype at mmp-3 snp -1613 5t/6t,gm-csf
nf kappab -94attg,gm-csf
tnf-alpha,gm-csf
timp-1 genotype tt,gm-csf
tlr,gm-csf
timp-1,gm-csf
il23r,gm-csf
g908r,gm-csf
